trial_id,source,unq_drugs,atc,atc_new,drug_name,correct_name,dose,n,arm_n,arm_n_attr
NCT00035984,agg,2,A10BJ01,A10BJ01,exenatide,NA,10,734,241,43
NCT00035984,agg,2,A10BJ01,A10BJ01,exenatide,NA,5,734,245,39
NCT00035984,agg,2,placebo,placebo,placebo,NA,NA,734,247,59
NCT00039013,agg,2,A10BJ01,A10BJ01,exenatide,NA,10,336,113,20
NCT00039013,agg,2,A10BJ01,A10BJ01,exenatide,NA,5,336,110,20
NCT00039013,agg,2,placebo,placebo,placebo,NA,NA,336,113,24
NCT00039026,agg,2,A10BJ01,A10BJ01,exenatide,NA,10,377,129,38
NCT00039026,agg,2,A10BJ01,A10BJ01,exenatide,NA,5,377,125,30
NCT00039026,agg,2,placebo,placebo,placebo,NA,NA,377,123,49
NCT00082381,agg,2,A10A,A10A,INSULINS AND ANALOGUES,NA,NA,549,267,25
NCT00082381,agg,2,A10BJ01,A10BJ01,exenatide,NA,10,549,282,54
NCT00082407,agg,2,A10A,A10A,INSULINS AND ANALOGUES,NA,NA,501,248,25
NCT00082407,agg,2,A10BJ01,A10BJ01,exenatide,NA,10,501,253,54
NCT00086502,agg,2,A10BH01,A10BH01,sitagliptin,NA,100,353,175,26
NCT00086502,agg,2,placebo,placebo,placebo,NA,NA,353,178,20
NCT00086515,agg,2,A10BH01,A10BH01,sitagliptin,NA,100,701,464,48
NCT00086515,agg,2,placebo,placebo,placebo,NA,NA,701,237,45
NCT00087516,agg,2,A10BH01,A10BH01,sitagliptin,NA,100,741,238,29
NCT00087516,agg,2,A10BH01,A10BH01,sitagliptin,NA,200,741,250,36
NCT00087516,agg,2,placebo,placebo,placebo,NA,NA,741,253,37
NCT00094757,agg,2,A10BH01,A10BH01,sitagliptin,NA,100,521,205,17
NCT00094757,agg,2,A10BH01,A10BH01,sitagliptin,NA,200,521,206,22
NCT00094757,agg,2,placebo,placebo,placebo,NA,NA,521,110,19
NCT00094770,agg,2,A10BB07,A10BB07,glipizide,NA,NA,1172,584,172
NCT00094770,agg,2,A10BH01,A10BH01,sitagliptin,NA,100,1172,588,202
NCT00099320,agg,2,A10BJ01,A10BJ01,exenatide,NA,10,233,121,35
