trial_id,atc,class_short,trttype,has_plc,has_ac,ref_type,ref,has_dpp4,has_sglt2
NCT00518882,A10BJ01,glp1,exp,FALSE,FALSE,,,FALSE,FALSE
NCT00518882,A10BJ02,glp1,exp,FALSE,FALSE,,,FALSE,FALSE
NCT00616811,A10BH01,dpp4,exp,FALSE,FALSE,,,TRUE,FALSE
NCT00616811,A10BH02,dpp4,exp,FALSE,FALSE,,,TRUE,FALSE
NCT00666458,A10BH01,dpp4,exp,FALSE,FALSE,,,TRUE,FALSE
NCT00666458,A10BH03,dpp4,exp,FALSE,FALSE,,,TRUE,FALSE
NCT00717457,A10BJ01,glp1,exp,FALSE,FALSE,,,FALSE,FALSE
NCT00717457,A10BJ04,glp1,exp,FALSE,FALSE,,,FALSE,FALSE
NCT01029886,A10BJ01,glp1,exp,FALSE,FALSE,,,FALSE,FALSE
NCT01029886,A10BJ02,glp1,exp,FALSE,FALSE,,,FALSE,FALSE
NCT01602003,A10BH01,dpp4,exp,FALSE,FALSE,,,TRUE,FALSE
NCT01602003,A10BH06,dpp4,exp,FALSE,FALSE,,,TRUE,FALSE
NCT01841697,A10BH,dpp4,exp,FALSE,FALSE,,,TRUE,FALSE
NCT01841697,A10BH01,dpp4,exp,FALSE,FALSE,,,TRUE,FALSE
NCT01885208,A10BJ01,glp1,exp,FALSE,FALSE,,,FALSE,FALSE
NCT01885208,A10BJ06,glp1,exp,FALSE,FALSE,,,FALSE,FALSE
NCT01973231,A10BJ02,glp1,exp,FALSE,FALSE,,,FALSE,FALSE
NCT01973231,A10BJ03,glp1,exp,FALSE,FALSE,,,FALSE,FALSE
NCT02343926,A10BH02,dpp4,exp,FALSE,FALSE,,,TRUE,FALSE
NCT02343926,A10BH06,dpp4,exp,FALSE,FALSE,,,TRUE,FALSE
NCT02567994,A10BH01,dpp4,exp,FALSE,FALSE,,,TRUE,FALSE
NCT02567994,A10BH06,dpp4,exp,FALSE,FALSE,,,TRUE,FALSE
NCT02648204,A10BJ05,glp1,exp,FALSE,FALSE,,,FALSE,FALSE
NCT02648204,A10BJ06,glp1,exp,FALSE,FALSE,,,FALSE,FALSE
NCT02949193,A10BH01,dpp4,exp,FALSE,FALSE,,,TRUE,FALSE
NCT02949193,A10BH07,dpp4,exp,FALSE,FALSE,,,TRUE,FALSE
NCT02974504,A10BH05,dpp4,exp,FALSE,FALSE,,,TRUE,FALSE
NCT02974504,A10BH07,dpp4,exp,FALSE,FALSE,,,TRUE,FALSE
NCT03015220,A10BJ05,glp1,exp,FALSE,FALSE,,,FALSE,FALSE
NCT03015220,A10BJ06,glp1,exp,FALSE,FALSE,,,FALSE,FALSE
NCT03018028,A10BJ02,glp1,exp,FALSE,FALSE,,,FALSE,FALSE
NCT03018028,A10BJ06,glp1,exp,FALSE,FALSE,,,FALSE,FALSE
NCT03191396,A10BJ02,glp1,exp,FALSE,FALSE,,,FALSE,FALSE
NCT03191396,A10BJ06,glp1,exp,FALSE,FALSE,,,FALSE,FALSE
NCT04634500,A10BK01,sglt2,exp,FALSE,FALSE,,,FALSE,TRUE
NCT04634500,A10BK08,sglt2,exp,FALSE,FALSE,,,FALSE,TRUE
NCT04654390,A10BK01,sglt2,exp,FALSE,FALSE,,,FALSE,TRUE
NCT04654390,A10BK08,sglt2,exp,FALSE,FALSE,,,FALSE,TRUE
