nct_id,min_dur,max_dur,med_dur,arm_lvl,trt_class,trttype,n,attr
NCT01217892,8.14,22,20.14,placebo,placebo,plc,100,8
NCT01217892,4.14,21.57,20.14,A10BK01_d10,sglt2,exp,98,8
NCT01217892,5.14,22.71,20.14,A10BK01_d2.5,sglt2,exp,100,7
NCT01217892,6.71,22.43,20.14,A10BK01_d5,sglt2,exp,96,4
NCT01606007,4.14,33.14,28.14,A10BH03_d5,dpp4,exp,173,12
NCT01606007,3.43,31.14,28.14,A10BK01_d10,sglt2,exp,172,13
NCT01619059,0.14,26.43,24,A10BH03_d5,dpp4,exp,149,9
NCT01619059,0.43,26.71,24,placebo,placebo,plc,156,6
NCT02471404,0.14,63.29,54.86,A10BK01_d10,sglt2,exp,297,16
NCT02471404,4.43,69.86,54.86,A10BB12,sulf,ac,301,13
NCT02681094,3,38,24.14,A10BH03_d5,dpp4,exp,299,10
NCT02681094,0.14,33.57,24.14,A10BK01_d5,sglt2,exp,296,13
NCT00601250,0.14,29.71,24.43,A10BH05_d5,dpp4,exp,523,39
NCT00601250,0.29,28,24.43,placebo,placebo,plc,177,14
NCT00602472,0.43,30.57,24.29,A10BH05_d5,dpp4,exp,792,58
NCT00602472,0.86,30.43,24.29,placebo,placebo,plc,263,21
NCT00621140,0.14,29.57,24.43,A10BH05_d5,dpp4,exp,336,18
NCT00621140,0.29,27.14,24.43,placebo,placebo,plc,167,15
NCT00622284,0.29,111,104.14,A10BH05_d5,dpp4,exp,776,189
NCT00622284,0.43,114.86,104.14,A10BB12,sulf,ac,775,171
NCT00641043,0.14,27.86,24.14,A10BH05_d5,dpp4,exp,257,13
NCT00641043,1,27,24.14,placebo,placebo,plc,130,19
NCT00654381,31.71,53,52,A10BF03,agluc,ac,147,6
NCT00654381,27.71,53,52,A10BH05_d10,dpp4,exp,151,9
NCT00654381,27.57,53,52,A10BH05_d5,dpp4,exp,153,11
NCT00654381,31.86,53,52,placebo,placebo,plc,72,3
NCT00740051,4.29,55,52.14,A10BH05_d5,dpp4,exp,151,32
NCT00740051,0.71,54.29,52.14,placebo,placebo,plc,76,18
NCT00798161,0.14,27.14,24.29,A10BA02_d1000,biguanide,ac,147,21
NCT00798161,0.43,27,24.29,A10BA02_d500,biguanide,ac,144,17
NCT00798161,1,27.29,24.29,A10BH05_d5,dpp4,exp,142,21
NCT00798161,0.29,26.29,24.14,placebo,placebo,plc,72,18
NCT00800683,0.14,54.86,52,A10BH05_d5,dpp4,exp,63,16
NCT00800683,4.14,56.57,52,placebo,placebo,plc,67,18
NCT00819091,0.86,21.14,18.14,A10BH05_d5,dpp4,exp,157,10
NCT00819091,0.14,20,18.14,placebo,placebo,plc,81,7
NCT00915772,0.14,57.57,54.07,A10BA02_d500,biguanide,ac,170,36
NCT00915772,1.86,57.29,54.14,A10BH05_d2.5,dpp4,exp,225,46
NCT00954447,0.14,101.71,64,A10BH05_d5,dpp4,exp,627,84
NCT00954447,0.14,101,63.14,placebo,placebo,plc,625,109
NCT00996658,0.14,30.86,24.29,A10BH05_d5,dpp4,exp,183,18
NCT00996658,2.71,27.71,24.14,placebo,placebo,plc,89,13
NCT01084005,1.57,27.14,24,A10BH05_d5,dpp4,exp,160,16
NCT01084005,3.86,25.57,24,placebo,placebo,plc,79,5
NCT01087502,8.14,54,52,A10BH05_d5,dpp4,exp,113,18
NCT01087502,0.14,54.57,52,placebo,placebo,plc,122,32
NCT01159600,0.14,28.29,24.29,placebo,placebo,plc,432,45
NCT01159600,0.29,32,24.29,A10BK03_d10,sglt2,exp,442,25
NCT01159600,0.14,30,24.14,A10BK03_d25,sglt2,exp,429,34
NCT01164501,0.43,57,52,placebo,placebo,plc,319,41
NCT01164501,4.29,64.43,52,A10BK03_d10,sglt2,exp,98,10
NCT01164501,1.57,54.86,52,A10BK03_d25,sglt2,exp,320,40
NCT01167881,0.14,214.43,208.14,A10BK03_d25,sglt2,exp,765,155
NCT01167881,0.14,213.57,208.14,A10BB12,sulf,ac,780,191
NCT01177813,0.29,27,24.29,A10BH01_d100,dpp4,exp,223,17
NCT01177813,0.14,30.29,24.14,placebo,placebo,plc,227,40
NCT01177813,0.14,26.57,24.29,A10BK03_d10,sglt2,exp,224,18
NCT01177813,1,26,24.29,A10BK03_d25,sglt2,exp,223,20
NCT01194830,0.57,28,24,A10BH05_d5,dpp4,exp,101,22
NCT01194830,0.14,26.14,24,placebo,placebo,plc,115,31
NCT01210001,0.14,35.57,24.29,placebo,placebo,plc,165,18
NCT01210001,0.14,27.43,24.43,A10BK03_d10,sglt2,exp,165,11
NCT01210001,2.57,29.14,24.29,A10BK03_d25,sglt2,exp,168,12
NCT01214239,1.14,27.29,24.14,A10BH05_d5,dpp4,exp,200,18
NCT01214239,0.14,27.14,24.14,placebo,placebo,plc,99,12
NCT01215097,2.14,28,24.14,A10BH05_d5,dpp4,exp,100,12
NCT01215097,0.71,27.29,24.14,placebo,placebo,plc,205,14
NCT01306214,3,57.86,52,placebo,placebo,plc,188,31
NCT01306214,1.86,54.29,52,A10BK03_d10,sglt2,exp,186,31
NCT01306214,0.29,58,52,A10BK03_d25,sglt2,exp,189,26
NCT01370005,0.71,23.43,12.14,placebo,placebo,plc,271,15
NCT01370005,1.86,18,12.14,A10BK03_d10,sglt2,exp,276,11
NCT01370005,3,15.14,12.14,A10BK03_d25,sglt2,exp,277,11
NCT01422876,0.14,56.86,52.14,A10BH05_d5,dpp4,exp,267,38
NCT01422876,0.14,63,52,A10BK03_d10,sglt2,exp,274,46
NCT01422876,0.14,56.14,52,A10BK03_d25,sglt2,exp,276,37
