nct_id,modeltype,row,col,value
NCT00654381,cox_unadj,dpp4,agluc,0.761
NCT00798161,cox_unadj,biguanide,dpp4,0.607
NCT01177813,cox_unadj,sglt2,dpp4,0.378
NCT00838903,cox_unadj,glp1,dpp4,0.712
NCT00838903,cox_unadj,glp1,sulf,0.714
NCT00838903,cox_unadj,dpp4,sulf,0.716
NCT00839527,cox_unadj,glp1,thia,0.663
NCT01106677,cox_unadj,sglt2,dpp4,0.696
NCT01023581,cox_unadj,biguanide,dpp4,0.589
NCT01890122,cox_unadj,dpp4,biguanide,0.352
NCT01217892,glm_unadj,(Intercept),sglt2,-0.841
NCT01606007,glm_unadj,(Intercept),sglt2,-0.72
NCT01619059,glm_unadj,(Intercept),dpp4,-0.771
NCT02471404,glm_unadj,(Intercept),sglt2,-0.741
NCT02681094,glm_unadj,(Intercept),sglt2,-0.75
NCT00601250,glm_unadj,(Intercept),dpp4,-0.858
NCT00602472,glm_unadj,(Intercept),dpp4,-0.858
NCT00621140,glm_unadj,(Intercept),dpp4,-0.745
NCT00622284,glm_unadj,(Intercept),dpp4,-0.719
NCT00641043,glm_unadj,(Intercept),dpp4,-0.657
NCT00654381,glm_unadj,(Intercept),dpp4,-0.931
NCT00654381,glm_unadj,(Intercept),agluc,-0.817
NCT00654381,glm_unadj,dpp4,agluc,0.76
NCT00740051,glm_unadj,(Intercept),dpp4,-0.805
NCT00798161,glm_unadj,(Intercept),biguanide,-0.843
NCT00798161,glm_unadj,(Intercept),dpp4,-0.755
NCT00798161,glm_unadj,biguanide,dpp4,0.636
NCT00800683,glm_unadj,(Intercept),dpp4,-0.69
NCT00819091,glm_unadj,(Intercept),dpp4,-0.771
NCT00915772,glm_unadj,(Intercept),dpp4,-0.751
NCT00954447,glm_unadj,(Intercept),dpp4,-0.669
NCT00996658,glm_unadj,(Intercept),dpp4,-0.771
NCT01084005,glm_unadj,(Intercept),dpp4,-0.869
NCT01087502,glm_unadj,(Intercept),dpp4,-0.625
NCT01159600,glm_unadj,(Intercept),sglt2,-0.76
NCT01164501,glm_unadj,(Intercept),sglt2,-0.743
NCT01167881,glm_unadj,(Intercept),sglt2,-0.679
NCT01177813,glm_unadj,(Intercept),sglt2,-0.717
NCT01177813,glm_unadj,(Intercept),dpp4,-0.568
NCT01177813,glm_unadj,sglt2,dpp4,0.407
NCT01194830,glm_unadj,(Intercept),dpp4,-0.657
NCT01210001,glm_unadj,(Intercept),sglt2,-0.756
