nct_id,modeltype,statistic.log,p.value.log,statistic.sc,p.value.sc,statistic.wald,p.value.wald,statistic.robust,p.value.robust,r.squared,r.squared.max,concordance,std.error.concordance,logLik,AIC,BIC,nobs,null.deviance,df.null,deviance,df.residual
NCT01217892,cox_unadj,0.208,0.649,0.214,0.644,0.21,0.644,NA,NA,0.001,0.549,0.519,0.044,-156.749,315.497,316.793,394,NA,NA,NA,NA
NCT01606007,cox_unadj,0.072,0.788,0.072,0.788,0.07,0.788,NA,NA,0,0.561,0.522,0.051,-142.155,286.31,287.529,345,NA,NA,NA,NA
NCT01619059,cox_unadj,0.749,0.387,0.745,0.388,0.73,0.392,NA,NA,0.002,0.429,0.555,0.064,-85.08,172.161,172.869,305,NA,NA,NA,NA
NCT02471404,cox_unadj,0.392,0.531,0.392,0.531,0.39,0.532,NA,NA,0.001,0.459,0.527,0.046,-183.359,368.717,370.085,598,NA,NA,NA,NA
NCT02681094,cox_unadj,0.569,0.451,0.568,0.451,0.56,0.453,NA,NA,0.001,0.354,0.561,0.056,-129.674,261.349,262.484,595,NA,NA,NA,NA
NCT00601250,cox_unadj,0.034,0.854,0.034,0.853,0.03,0.853,NA,NA,0,0.621,0.505,0.031,-339.536,681.073,683.043,700,NA,NA,NA,NA
NCT00602472,cox_unadj,0.093,0.76,0.094,0.759,0.09,0.759,NA,NA,0,0.639,0.509,0.025,-538.094,1078.189,1080.558,1055,NA,NA,NA,NA
NCT00621140,cox_unadj,2.901,0.089,3.076,0.079,2.98,0.084,NA,NA,0.006,0.537,0.585,0.045,-192.387,386.775,388.271,503,NA,NA,NA,NA
NCT00622284,cox_unadj,0.8,0.371,0.799,0.371,0.8,0.372,NA,NA,0.001,0.964,0.509,0.013,-2585.546,5173.092,5176.978,1551,NA,NA,NA,NA
NCT00641043,cox_unadj,9.082,0.003,9.789,0.002,8.91,0.003,NA,NA,0.023,0.616,0.622,0.045,-180.423,362.846,364.312,387,NA,NA,NA,NA
NCT00654381,cox_unadj,1.526,0.466,1.475,0.478,1.45,0.485,NA,NA,0.003,0.499,0.556,0.045,-179.974,363.948,366.683,523,NA,NA,NA,NA
NCT00740051,cox_unadj,0.271,0.603,0.276,0.6,0.28,0.6,NA,NA,0.001,0.902,0.522,0.035,-263.236,528.472,530.384,227,NA,NA,NA,NA
NCT00798161,cox_unadj,6.758,0.034,8.058,0.018,7.7,0.021,NA,NA,0.013,0.835,0.576,0.032,-452.325,908.651,913.338,505,NA,NA,NA,NA
NCT00800683,cox_unadj,0.003,0.954,0.003,0.954,0,0.954,NA,NA,0,0.916,0.497,0.043,-160.677,323.354,324.88,130,NA,NA,NA,NA
NCT00819091,cox_unadj,0.414,0.52,0.427,0.513,0.42,0.515,NA,NA,0.002,0.54,0.541,0.06,-92.075,186.151,186.984,238,NA,NA,NA,NA
NCT00915772,cox_unadj,0.019,0.891,0.019,0.891,0.02,0.891,NA,NA,0,0.911,0.507,0.028,-478.41,958.819,961.226,395,NA,NA,NA,NA
NCT00954447,cox_unadj,4.151,0.042,4.143,0.042,4.11,0.043,NA,NA,0.003,0.882,0.539,0.018,-1336.232,2674.464,2677.727,1252,NA,NA,NA,NA
NCT00996658,cox_unadj,1.202,0.273,1.253,0.263,1.24,0.266,NA,NA,0.004,0.713,0.533,0.044,-169.127,340.254,341.688,272,NA,NA,NA,NA
NCT01084005,cox_unadj,1.003,0.317,0.945,0.331,0.93,0.336,NA,NA,0.004,0.609,0.564,0.046,-111.607,225.215,226.259,239,NA,NA,NA,NA
NCT01087502,cox_unadj,4.006,0.045,3.953,0.047,3.85,0.05,NA,NA,0.017,0.897,0.573,0.034,-265.353,532.707,534.619,235,NA,NA,NA,NA
NCT01159600,cox_unadj,5.207,0.022,5.448,0.02,5.35,0.021,NA,NA,0.004,0.67,0.549,0.025,-719.869,1441.737,1444.382,1303,NA,NA,NA,NA
