nct_id,modeltype,spec,term,ref,estimate,std.error,statistic,p.value,lci,uci
NCT01217892,cox,unadj,sglt2,placebo,-0.195,0.421,-0.462,0.644,-1.021,0.631
NCT01606007,cox,unadj,sglt2,dpp4,0.108,0.4,0.269,0.788,-0.677,0.892
NCT01619059,cox,unadj,dpp4,placebo,0.451,0.527,0.856,0.392,-0.582,1.484
NCT02471404,cox,unadj,sglt2,sulf,0.233,0.373,0.625,0.532,-0.499,0.965
NCT02681094,cox,unadj,sglt2,dpp4,0.316,0.421,0.751,0.453,-0.509,1.142
NCT00601250,cox,unadj,dpp4,placebo,-0.058,0.312,-0.185,0.853,-0.668,0.553
NCT00602472,cox,unadj,dpp4,placebo,-0.078,0.255,-0.307,0.759,-0.577,0.421
NCT00621140,cox,unadj,dpp4,placebo,-0.612,0.355,-1.727,0.084,-1.307,0.083
NCT00622284,cox,unadj,dpp4,sulf,0.094,0.106,0.894,0.372,-0.113,0.301
NCT00641043,cox,unadj,dpp4,placebo,-1.076,0.361,-2.984,0.003,-1.783,-0.369
NCT00654381,cox,unadj,dpp4,placebo,0.474,0.619,0.765,0.444,-0.74,1.687
NCT00654381,cox,unadj,agluc,placebo,-0.013,0.707,-0.019,0.985,-1.399,1.373
NCT00740051,cox,unadj,dpp4,placebo,-0.155,0.295,-0.524,0.6,-0.732,0.423
NCT00798161,cox,unadj,biguanide,placebo,-0.784,0.287,-2.729,0.006,-1.348,-0.221
NCT00798161,cox,unadj,dpp4,placebo,-0.662,0.322,-2.053,0.04,-1.294,-0.03
NCT00800683,cox,unadj,dpp4,placebo,-0.02,0.344,-0.058,0.954,-0.693,0.654
NCT00819091,cox,unadj,dpp4,placebo,-0.321,0.493,-0.651,0.515,-1.287,0.645
NCT00915772,cox,unadj,dpp4,biguanide,-0.03,0.223,-0.137,0.891,-0.467,0.406
NCT00954447,cox,unadj,dpp4,placebo,-0.294,0.145,-2.028,0.043,-0.579,-0.01
NCT00996658,cox,unadj,dpp4,placebo,-0.405,0.365,-1.112,0.266,-1.12,0.309
NCT01084005,cox,unadj,dpp4,placebo,0.493,0.512,0.962,0.336,-0.511,1.498
NCT01087502,cox,unadj,dpp4,placebo,-0.578,0.295,-1.961,0.05,-1.156,0
NCT01159600,cox,unadj,sglt2,placebo,-0.46,0.199,-2.314,0.021,-0.849,-0.07
NCT01164501,cox,unadj,sglt2,placebo,-0.09,0.212,-0.426,0.67,-0.505,0.325
NCT01167881,cox,unadj,sglt2,sulf,-0.224,0.108,-2.07,0.038,-0.436,-0.012
NCT01177813,cox,unadj,sglt2,placebo,-0.75,0.227,-3.304,0.001,-1.195,-0.305
NCT01177813,cox,unadj,dpp4,placebo,-0.906,0.29,-3.125,0.002,-1.474,-0.338
NCT01194830,cox,unadj,dpp4,placebo,-0.23,0.279,-0.826,0.409,-0.777,0.316
NCT01210001,cox,unadj,sglt2,placebo,-0.397,0.32,-1.24,0.215,-1.024,0.231
NCT01214239,cox,unadj,dpp4,placebo,-0.326,0.373,-0.874,0.382,-1.056,0.405
NCT01215097,cox,unadj,dpp4,placebo,0.594,0.394,1.508,0.132,-0.178,1.365
NCT01306214,cox,unadj,sglt2,placebo,-0.074,0.223,-0.329,0.742,-0.511,0.364
NCT01370005,cox,unadj,sglt2,placebo,-0.262,0.342,-0.766,0.444,-0.932,0.408
NCT01422876,cox,unadj,sglt2,dpp4,0.053,0.196,0.27,0.787,-0.331,0.437
NCT01438814,cox,unadj,dpp4,biguanide,0.048,0.386,0.125,0.901,-0.708,0.805
NCT01708902,cox,unadj,dpp4,biguanide,0.276,0.315,0.876,0.381,-0.341,0.893
NCT01719003,cox,unadj,sglt2,biguanide,-0.424,0.25,-1.698,0.09,-0.913,0.065
NCT01734785,cox,unadj,sglt2,placebo,0.269,0.526,0.512,0.609,-0.762,1.301
NCT01792518,cox,unadj,dpp4,placebo,-0.021,0.535,-0.039,0.969,-1.068,1.027
NCT02182830,cox,unadj,sglt2,placebo,-0.133,0.344,-0.386,0.699,-0.806,0.541
NCT02453555,cox,unadj,sglt2,placebo,-0.6,0.46,-1.305,0.192,-1.5,0.301
NCT01064687,cox,unadj,glp1,placebo,-0.103,0.252,-0.409,0.682,-0.597,0.391
NCT01075282,cox,unadj,glp1,insulin,0.177,0.242,0.732,0.464,-0.297,0.65
NCT01126580,cox,unadj,glp1,biguanide,-0.166,0.169,-0.986,0.324,-0.497,0.164
NCT01191268,cox,unadj,glp1,insulin,0.129,0.168,0.77,0.441,-0.2,0.459
NCT01558271,cox,unadj,glp1,placebo,-0.7,0.347,-2.019,0.043,-1.38,-0.02
NCT01621178,cox,unadj,glp1,insulin,0.131,0.221,0.591,0.554,-0.302,0.564
NCT01648582,cox,unadj,glp1,insulin,0.082,0.243,0.336,0.737,-0.395,0.559
NCT01769378,cox,unadj,glp1,placebo,1.073,0.739,1.453,0.146,-0.375,2.521
